fileId,time,xPos,yPos,zPos,leftSide,leftForward,centralForward,rightForward,rightSide,leftSideDistance,leftForwardDistance,centralForwardDistance,rightForwardDistance,rightSideDistance,zone,movingForward,moveForwardInput,moveBackwardsInput,moveLeftInput,moveRightInput,state
2120831,0,15.58,1.010003,4.62,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0
2120831,0.02,15.58,1.006083,4.62,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.3533334,15.58041,0.8817309,4.616555,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.3886476,15.57956,0.88221,4.617604,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0
2120831,0.4050463,15.57916,0.8817496,4.617803,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0
2120831,0.4130677,15.57949,0.8823659,4.617537,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.4197364,15.57977,0.8828784,4.617316,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.4264292,15.58006,0.8824297,4.617013,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.4338934,15.58039,0.8818852,4.616671,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.4417979,15.58059,0.881566,4.616471,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.4499697,15.58033,0.8821403,4.616832,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0
2120831,0.4581021,15.58006,0.8827118,4.617192,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0
2120831,0.4657033,15.57974,0.882426,4.617487,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0
2120831,0.4738753,15.57937,0.8818254,4.617789,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0
2120831,0.4811926,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0
2120831,0.4890442,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5042542,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5132557,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5219399,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5311607,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5394176,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.546849,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5547311,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5624381,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5796154,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5873895,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.5955023,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.6030284,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.610715,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
2120831,0.6184216,15.57909,0.8813753,4.618016,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0
