fileId,time,xPos,yPos,zPos,leftSide,leftForward,centralForward,rightForward,rightSide,leftSideDistance,leftForwardDistance,centralForwardDistance,rightForwardDistance,rightSideDistance,zone,movingForward,moveForwardInput,moveBackwardsInput,moveLeftInput,moveRightInput,state
fileId,time,xPos,yPos,zPos,leftSide,leftForward,centralForward,rightForward,rightSide,leftSideDistance,leftForwardDistance,centralForwardDistance,rightForwardDistance,rightSideDistance,zone,movingForward,moveForwardInput,moveBackwardsInput,moveLeftInput,moveRightInput,state,gameOver
5290943,2.112595,15.58,1.01,4.62,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
5290943,2.112595,15.58,1.01,4.62,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.132595,15.58,1.007532,4.620001,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
5290943,2.156973,15.58,0.9994303,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.17568,15.58,0.989034,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.19483,15.58,0.9748869,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.213883,15.58,0.9572607,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.232304,15.58,0.9368445,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.254416,15.58,0.9080973,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.273899,15.58,0.8795606,4.619863,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.292939,15.58,0.8784083,4.618264,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.313025,15.57836,0.8803579,4.617053,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.341107,15.57859,0.8837412,4.617419,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
5290943,2.363108,15.57942,0.8831554,4.617354,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.382308,15.58093,0.8821812,4.61727,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.402103,15.58038,0.8829799,4.617141,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.422087,15.57962,0.8815521,4.616182,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
5290943,2.440804,15.57985,0.8827172,4.617316,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
