fileId,time,xPos,yPos,zPos,leftSide,leftForward,centralForward,rightForward,rightSide,leftSideDistance,leftForwardDistance,centralForwardDistance,rightForwardDistance,rightSideDistance,zone,movingForward,moveForwardInput,moveBackwardsInput,moveLeftInput,moveRightInput,state
fileId,time,xPos,yPos,zPos,leftSide,leftForward,centralForward,rightForward,rightSide,leftSideDistance,leftForwardDistance,centralForwardDistance,rightForwardDistance,rightSideDistance,zone,movingForward,moveForwardInput,moveBackwardsInput,moveLeftInput,moveRightInput,state,gameOver
6160501,9.899381,15.58,1.01,4.62,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,9.899381,15.58,1.01,4.62,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,9.919381,15.58,1.006202,4.620001,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,9.930936,15.58,1.001796,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,9.938208,15.58,0.9989465,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,9.944908,15.58,0.9953613,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,9.952765,15.58,0.9907461,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,9.960325,15.58,0.9862414,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,9.967988,15.58,0.980243,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,9.98277,15.58,0.9681298,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,9.996786,15.58,0.9544218,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.02176,15.58,0.9254148,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.04748,15.58,0.8892109,4.619926,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.05599,15.58,0.8764088,4.619842,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.06683,15.58,0.8746212,4.61899,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.07491,15.58,0.8796316,4.61803,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.08258,15.57968,0.8823036,4.617352,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.09005,15.57873,0.8809128,4.617138,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.09754,15.57779,0.8795171,4.616924,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.10506,15.57775,0.8802483,4.616998,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.11338,15.5782,0.8822068,4.617234,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.12912,15.57882,0.8835785,4.617398,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.13784,15.57906,0.8834016,4.617375,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.14595,15.57968,0.8829697,4.61734,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.1556,15.58058,0.8823402,4.617292,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.16442,15.58087,0.8822986,4.61727,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.17678,15.58055,0.8829852,4.617269,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.18531,15.58024,0.882698,4.616946,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.19415,15.57984,0.881922,4.61641,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.20271,15.57963,0.8815953,4.61622,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.211,15.57976,0.8821681,4.616728,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.21953,15.57989,0.8827576,4.61725,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.228,15.57946,0.8820633,4.617649,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.23656,15.579,0.8812861,4.618044,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.24446,15.57903,0.8813787,4.617979,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.25295,15.57945,0.8821479,4.617551,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.26064,15.5798,0.882754,4.617161,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.26976,15.5798,0.8822796,4.616646,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.27774,15.5798,0.8818645,4.616196,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.28604,15.57979,0.8818667,4.616587,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.29549,15.57978,0.8820534,4.617398,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.30316,15.57977,0.8821161,4.617552,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.31182,15.57976,0.882044,4.616914,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.31977,15.57974,0.8819777,4.616327,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.328,15.57973,0.8822972,4.616657,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.33614,15.57971,0.8826243,4.617011,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.3444,15.57988,0.8826566,4.617178,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,15,False
6160501,10.35277,15.5802,0.8824215,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.36099,15.58044,0.8822417,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.36948,15.58003,0.8824366,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.37756,15.57963,0.8826218,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.38607,15.57951,0.8826778,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.39449,15.57951,0.8826778,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.40259,15.57951,0.8826778,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.41085,15.57951,0.8826778,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.41909,15.57951,0.8826778,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.42764,15.57951,0.8826778,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
6160501,10.43607,15.57951,0.8826778,4.617177,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,15,False
